unique_id|competitor_name|store_name|store_addressline1|store_addressline2|store_suburb|store_state|store_postcode|store_addressid|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|drained_weight|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|producthierarchy_level6|producthierarchy_level7|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|package_sizeof_sellingprice|per_unit_sizedescription|price_valid_from|price_per_unit|multi_buy_item_count|multi_buy_items_price_total|currency|breadcrumb|pdp_url|variants|product_description|instructions|storage_instructions|preparationinstructions|instructionforuse|country_of_origin|allergens|age_of_the_product|age_recommendations|flavour|nutritions|nutritional_information|vitamins|labelling|grade|region|packaging|receipies|processed_food|barcode|frozen|chilled|organictype|cooking_part|handmade|max_heating_temperature|special_information|label_information|dimensions|special_nutrition_purpose|feeding_recommendation|warranty|color|model_number|material|usp|dosage_recommendation|tasting_note|food_preservation|size|rating|review|file_name_1|image_url_1|file_name_2|image_url_2|file_name_3|image_url_3|file_name_4|image_url_4|file_name_5|image_url_5|file_name_6|image_url_6|competitor_product_key|fit_guide|occasion|material_composition|style|care_instructions|heel_type|heel_height|upc|features|dietary_lifestyle|manufacturer_address|importer_address|distributor_address|vinification_details|recycling_information|return_address|alchol_by_volume|beer_deg|netcontent|netweight|site_shown_uom|ingredients|random_weight_flag|instock|promo_limit|product_unique_key|multibuy_items_pricesingle|perfect_match|servings_per_pack|warning|suitable_for|standard_drinks|environmental|grape_variety|retail_limit
S2021020200503870099|delhaize||||||||2026_03_15|"Fanta | Lemon | Blik 6 x 33 cl"|Fanta||33|cl||eshop|Koude en warme dranken|Frisdrank|Andere bruisende frisdranken|Citroen|"Lemon | Blik"||5.79|5.79|||||||||||2.92|||EUR|"eshop > Koude en warme dranken > Frisdrank > Andere bruisende frisdranken > Citroen > Lemon | Blik"|https://www.delhaize.be/nl/shop/Koude-en-warme-dranken/Frisdrank/Andere-bruisende-frisdranken/Citroen/Lemon-Blik/p/S2021020200503870099||Fanta Lemon is de citroen variant van de wereldberoemde Fanta Orange. Les je dorst met deze bruisende verfrissing op basis van een uniek recept met natuurlijke aroma's, suiker en zoetstof. Je proeft de pure fun!||Koel, droog en uit het zonlicht bewaren.|||||||||{'Per': ['Niet Bereid 100 mlt', 'Niet Bereid (%RI) 330MLT'], 'Energie': ['137 KJ', '452 KJ (5%)'], 'Kilocalorieën': ['32 KCAL', '106 KCAL (5%)'], 'Vetten waarvan': ['0 g', '0 g (0%)'], 'Verzadigde vetten': ['0 g', '0 g (0%)'], 'Koolhydraten waarvan': ['7.8 g', '26 g (10%)'], 'Suikers': ['7.8 g', '26 g (29%)'], 'Eiwitten': ['0 g', '0 g (0%)'], 'Zout': ['0 g', '0 g (0%)']}|||||||||||||||30% minder suiker dan de meeste frisdranken met fruitsmaak in België en Luxemburg.|||||||||||||||||https://www.delhaize.be/medias/sys_master/products/hb3/hc4/13333163147294.jpg|||||||||||51643|||||||||||The Coca-Cola Company - BP/PB/PF 400 - B-1070 Bruxelles/Brussel/Brüssel||||||||6 piece(s)||6 x 33 cl|Sprankelend water; suiker; citroensap uit sapconcentraat 5%; voedingszuren citroenzuur, natriumcitraat; antioxidant ascorbinezuur; conserveermiddel kaliumsorbaat; stabilisatoren arabische gom, glycerolesters van houthars; zoetstof steviolglycosiden uit Stevia; natuurlijke citrusaroma&apos;s.||True||S2021020200503870099P|||||||||
S2024080200783910099|delhaize||||||||2026_03_15|"Fanta | Limonade | Cassis 6 x 33 cl"|Fanta||33|cl||eshop|Koude en warme dranken|Frisdrank|Andere bruisende frisdranken|Andere bruisende frisdranken|"Limonade | Cassis"||6.49|6.49|||||||||||3.28|||EUR|"eshop > Koude en warme dranken > Frisdrank > Andere bruisende frisdranken > Andere bruisende frisdranken > Limonade | Cassis"|https://www.delhaize.be/nl/shop/Koude-en-warme-dranken/Frisdrank/Andere-bruisende-frisdranken/Andere-bruisende-frisdranken/Limonade-Cassis/p/S2024080200783910099||Proef de heerlijke cassisverfrissing van Fanta. Fanta Cassis is een combinatie van sprankelend water en zwarte bessensap. Het 330ml blik is de ideale verpakking om onderweg van deze frisdrank te genieten||Koel en droog bewaren.|||||||||{'Per': ['Niet Bereid 100 mlt', 'Niet Bereid (%RI) 330MLT'], 'Energie': ['191 KJ', '630 KJ (7%)'], 'Kilocalorieën': ['45 KCAL', '149 KCAL (7%)'], 'Vetten waarvan': ['0 g', '0 g (0%)'], 'Verzadigde vetten': ['0 g', '0 g (0%)'], 'Koolhydraten waarvan': ['10.9 g', '36 g (14%)'], 'Suikers': ['10.9 g', '36 g (40%)'], 'Eiwitten': ['0 g', '0 g (0%)'], 'Zout': ['0 g', '0 g (0%)']}||||||||||||||||||||||||||||||||https://www.delhaize.be/medias/sys_master/products/h46/h6e/13333234384926.jpg|||||||||||83212|||||||||||The Coca-Cola Company - BP/PB/PF 400 - B-1070 Bruxelles/Brussel/Brüssel||||||||6 piece(s)||6 x 33 cl|Sprankelend water; suiker; zwarte bessensap uit concentraat (5%); voedingszuur citroenzuur; kleurstof anthocyanen; natuurlijke zwarte bessenaroma&apos;s; conserveermiddel kaliumsorbaat.||True||S2024080200783910099P|||||||||
S2025042200851860099|delhaize||||||||2026_03_15|"Nalu | Zero Sugar | Energiser 6 x 25 cl"|Nalu||25|cl||eshop|Koude en warme dranken|Frisdrank|Energiedrank|"Zero Sugar | Energiser"|||7.69|7.69|||||||||||5.13|||EUR|"eshop > Koude en warme dranken > Frisdrank > Energiedrank > Zero Sugar | Energiser"|https://www.delhaize.be/nl/shop/Koude-en-warme-dranken/Frisdrank/Energiedrank/Zero-Sugar-Energiser/p/S2025042200851860099||De nieuwe Nalu Original Zero is trouw aan de originele smaak met de fruitigheid van verse kiwi, mango, appel en sinaasappel. Trakteer jezelf op deze iconische smaak zonder extra suiker, met deze nieuwe Nalu Original Zero suiker.||Koel en droog bewaren.|||||||||{'Per': ['Niet Bereid 100 mlt'], 'Energie': ['5 KJ'], 'Kilocalorieën': ['1 KCAL'], 'Vetten waarvan': ['0 g'], 'Verzadigde vetten': ['0 g'], 'Koolhydraten waarvan': ['0 g'], 'Suikers': ['0 g'], 'Eiwitten': ['0 g'], 'Zout': ['0.06 g'], 'Vitamines': [], 'Vitamine E (tocoferol)': ['1.8 mg'], 'Vitamin B3 (niacine)': ['3.2 mg'], 'Vitamine B12(cobalamine)': ['0.38 µg'], 'Mineralen': []}||||||||||||||||||||||||||||||||https://www.delhaize.be/medias/sys_master/products/h63/h40/13136061497374.jpg|||||||||||89882|||||||||||Monster Energy Europe Limited - South Bank House, Barrow Street, Dublin 4, Ierland / Irlande / Irland||||||||6 piece(s)||6 x 25 cl|Sprankelend water, voedingszuun (citroenzuur), natuurlijk aroma, zuurteregelaar (natriumcitraten), conserveermiddelen (kaliumsorbaat, natriumbenzoaat), cafeïne (0,03%), zoetstoffen (sucralose, acesulfaam-k), plantaardige oliën (kokosnoot, raapzaad), gemodificeerd zetmeel, vitamines (niacine, E, B12), kleurstoffen (E141, E160a).||True||S2025042200851860099P|||||||||
S2016071903660020099|delhaize||||||||2026_03_15|"Fentimans | Indian Tonic Water | Light 4 x 20 cl"|Fentimans||20|cl||eshop|Bieren,Alcohol & Alcoholvrij|Tonic & Premium Mixers|"Indian Tonic Water | Light"||||6.59|6.59|||||||||||8.24|||EUR|"eshop > Bieren,Alcohol & Alcoholvrij > Tonic & Premium Mixers > Indian Tonic Water | Light"|https://www.delhaize.be/nl/shop/Bieren-Alcohol-and-Alcoholvrij/Tonic-and-Premium-Mixers/Indian-Tonic-Water-Light/p/S2016071903660020099||||Bewaar uit de zon, bij gematigde temperatuur in een droge en zuivere omgeving. Na opening in de koelkast bewaren en binnen 3 dagen verbruiken.||||||||||||||||||||||||Light|||||||||||||||||https://www.delhaize.be/medias/sys_master/products/h2b/h70/12880606691358.jpg|||||||||||687234|||||||||||"Atealaan 4G
2200 Herentals"||||||||800MLT||4 x 20 cl|Koolzuurhoudend water suiker, citroenzuur, natuurlijke aroma&apos;s, kinine, kruidenthee (jeneverbes, limoenblaadjes), gefermenteerde plantenextracten (jeneverbes, limoenblaadjes, citroengras)||True||S2016071903660020099P|||||||||
S2021021700511410000|delhaize||||||||2026_03_15|"Monster | Energy drink | Ultra fiësta | Mango | Blik 50 cl"|Monster||50|cl||eshop|Koude en warme dranken|Frisdrank|Energiedrank|"Energy drink | Ultra fiësta | Mango | Blik"|||1.79|1.79|||||||||||3.58|||EUR|"eshop > Koude en warme dranken > Frisdrank > Energiedrank > Energy drink | Ultra fiësta | Mango | Blik"|https://www.delhaize.be/nl/shop/Koude-en-warme-dranken/Frisdrank/Energiedrank/Energy-drink-Ultra-fiesta-Mango-Blik/p/S2021021700511410000||Monster Energy Ultra Fiesta, is een bruisende energiedrank met vitamine B en een gesofisticeerde smaak van mango. Zet je schrap voor de ruigste energydrink op aarde, zonder suiker, zonder calorieën. Monsterlijk groot, monsterlijk lek||Koel en droog bewaren.|||||||||{'Per': ['Niet Bereid 100 mlt', 'Niet Bereid (%RI) 250MLT'], 'Energie': ['11 KJ', '28 KJ (1%)'], 'Kilocalorieën': ['3 KCAL', '8 KCAL (1%)'], 'Vetten waarvan': ['0 g', '0 g (0%)'], 'Verzadigde vetten': ['0 g', '0 g (0%)'], 'Koolhydraten waarvan': ['1.3 g', '3.4 g (1%)'], 'Suikers': ['0 g', '0 g (0%)'], 'Eiwitten': ['0 g', '0 g (0%)'], 'Zout': ['0.2 g', '0.5 g (7%)'], 'Vitamines': [], 'Vitamin B3 (niacine)': ['6.4 mg', '16 mg (100%)'], 'Vitamine B6 (pyridoxine)': ['0.56 mg', '1.4 mg (100%)'], 'Vitamine B12(cobalamine)': ['1 µg', '2.5 µg (100%)'], 'Vitamin B5(Panthotheenzuur)': ['2.4 mg', '6 mg (100%)'], 'Mineralen': []}||||||||||||||||||||||||||||||||https://www.delhaize.be/medias/sys_master/h5f/h79/12566217326622.jpg|||||||||||52280|||||||||||Monster Energy Europe Limited - South Bank House, Barrow Street, Dublin 4, Ierland / Irlande / Irland||||||||0.5LTR||50 cl|Sprankelend water, voedingszuur (citroenzuur), smaakversterker (erytritol), taurine (0,4%), zuurteregelaar (natriumcitraten), aroma’s, ginsengwortelextract (0,08%), conserveermiddelen (sorbinezuur, benzoëzuur), zoetstoffen (sucralose, acesulfaam-k), cafeïne (0,03%), kleurstoffen (carotenen, anthocyanen), L-carnitine L-tartraat (0,015%), vitamines [B3 (nicotinamide), B5 (calcium-d-pantothenaat), B6 (pyridoxinehydrochloride), B12 (cyanocobalamine)], inositol.||True||S2021021700511410000P|||||||||
S2024091600790430000|delhaize||||||||2026_03_15|"Oasis | Mango-Passievrucht 1,5 l"|Oasis||5|l||eshop|Koude en warme dranken|Frisdrank|Iced tea|Niet-bruisende iced tea|Mango-Passievrucht||2.73|2.73|||12/03/26|19/03/2026|||-25% voor 3||||1.82|||EUR|eshop > Koude en warme dranken > Frisdrank > Iced tea > Niet-bruisende iced tea > Mango-Passievrucht|https://www.delhaize.be/nl/shop/Koude-en-warme-dranken/Frisdrank/Iced-tea/Niet-bruisende-iced-tea/Mango-Passievrucht/p/S2024091600790430000||Verfrissende drank met thee-extract, met suiker en zoetstof, mango-passie smaak||Uit de zon en op een koele plaats bewaren.||Koel schenken.|||||||{'Per': ['Niet Bereid 100 mlt'], 'Energie': ['79 KJ'], 'Kilocalorieën': ['18 KCAL'], 'Vetten waarvan': ['0 g'], 'Verzadigde vetten': ['0 g'], 'Koolhydraten waarvan': ['4.4 g'], 'Suikers': ['4.3 g'], 'Eiwitten': ['0 g'], 'Zout': ['0.03 g']}||||||||||||||||||||||||||||||||https://www.delhaize.be/medias/sys_master/products/h90/h75/12967417282590.jpg|||||||||||84020|||||||||||Schweppes Suntory Benelux - Ildefonse Vandammestraat 5-7, 1560 Hoeilaart, België/Belgique||||||||1.5LTR||1,5 l|&apos;water, suiker, fructosestroop, zuurteregelaars: citroenzuur en appelzuur, zwarte thee-extract (0,12%), mangosap uit concentraat (0,1%), zuurteregelaar: natriumcitraat, natuurlijk theearoma, natuurlijke aroma&apos;s, antioxidant: ascorbinezuur, zoetstof: steviolglycosiden uit Stevia||True||S2024091600790430000P|||||||||
S2017082304174210099|delhaize||||||||2026_03_15|"7Up | Limoen & Citroen | Limonade | Frisdrank | 33Cl 6 x 33 cl"|7Up||33|cl||eshop|Koude en warme dranken|Frisdrank|Andere bruisende frisdranken|Citroen|"Limoen & Citroen | Limonade | Frisdrank | 33Cl"||5.79|5.79|||||||||||2.92|||EUR|"eshop > Koude en warme dranken > Frisdrank > Andere bruisende frisdranken > Citroen > Limoen & Citroen | Limonade | Frisdrank | 33Cl"|https://www.delhaize.be/nl/shop/Koude-en-warme-dranken/Frisdrank/Andere-bruisende-frisdranken/Citroen/Limoen-and-Citroen-Limonade-Frisdrank-33Cl/p/S2017082304174210099||Frisdrank met de smaak van limoen en citroen, zonder suiker.||Koel en droog bewaren. Na openen beperkt houdbaar.||Zeer koel schenken. Ten minste houdbaar tot : zie onderkant blik.|||||||{'Per': ['Niet Bereid 100 mlt', 'Niet Bereid (%RI) 330MLT'], 'Energie': ['3 KJ', '9 KJ (1%)'], 'Kilocalorieën': ['0.6 KCAL', '2 KCAL (1%)'], 'Vetten waarvan': ['0 g', '0 g (0%)'], 'Verzadigde vetten': ['0 g', '0 g (0%)'], 'Koolhydraten waarvan': ['0 g', '0 g'], 'Suikers': ['0 g', '0 g (0%)'], 'Eiwitten': ['0 g', '0 g'], 'Zout': ['0.04 g', '0.13 g (2%)']}|||||||||||||||zero sugar|||||||||||||||||https://www.delhaize.be/medias/sys_master/products/h4e/hce/13543752892446.jpg|||||||||||187453|||||||||||"PepsiCo Belux BVBA/SPRL - Corporate Village – Elsinore Building | Da Vincilaan 9, 1930 Zaventem, Belgium"||||||||6 piece(s)||6 x 33 cl|Koolzuurhoudend water, voedingszuren (citroen- en appelzuur), zuurteregelaar (natriumcitraat), natuurlijk citroen- en limoenaroma, zoetstoffen (aspartaam**, acesulfam-K), conserveermiddel (natriumbenzoaat). **Bevat een bron van fenylalanine.||False||S2017082304174210099P|||||||||
S2017082804174740099|delhaize||||||||2026_03_15|"Pepsi | Cola | Zero | Lemon | Sleek Can 6 x 33 cl"|Pepsi||33|cl||eshop|Koude en warme dranken|Frisdrank|Cola|Cola zero|"Cola | Zero | Lemon | Sleek Can"||5.99|5.99|||||||||||3.03|||EUR|"eshop > Koude en warme dranken > Frisdrank > Cola > Cola zero > Cola | Zero | Lemon | Sleek Can"|https://www.delhaize.be/nl/shop/Koude-en-warme-dranken/Frisdrank/Cola/Cola-zero/Cola-Zero-Lemon-Sleek-Can/p/S2017082804174740099||Cola frisdrank zonder suiker met de originele Pepsi cola smaak en citroen.||Koel en droog bewaren. Na openen beperkt houdbaar.||Zeer koel schenken.|||||||{'Per': ['Niet Bereid 100 mlt', 'Niet Bereid (%RI) 330MLT'], 'Energie': ['3 KJ', '10 KJ (1%)'], 'Kilocalorieën': ['1 KCAL', '2 KCAL (1%)'], 'Vetten waarvan': ['0 g', '0 g (0%)'], 'Verzadigde vetten': ['0 g', '0 g (0%)'], 'Koolhydraten waarvan': ['0 g', '0 g'], 'Suikers': ['0 g', '0 g (0%)'], 'Eiwitten': ['0 g', '0 g'], 'Zout': ['0.04 g', '0.12 g (2%)']}|||||||||||||||Zero sugar|||||||||||||||||https://www.delhaize.be/medias/sys_master/products/h6a/h23/13543721828382.jpg|||||||||||187563|||||||||||PepsiCo Belux BVBA/SPRL - Da Vincilaan 3, 1930 ZAVENTEM, Belgium.||||||||6 piece(s)||6 x 33 cl|Koolzuurhoudend water, citroensap op basis van concentraat (1%), kleurstof (E150d), aroma&apos;s (waaronder cafeïne en natuurlijke plantenextracten), voedingszuren (fosforzuur, citroenzuur), zoetstoffen (aspartaam**, acesulfaam-K), zuurteregelaar (natriumcitraat), conserveermiddel (natriumbenzoaat). **Bevat een bron van fenylalanine.||True||S2017082804174740099P|||||||||
S2022020300603430099|delhaize||||||||2026_03_15|"Spa | Fruit | Limonade | Bruisend | Lemon-Cactus | PET 4 x 1,25 l"|Spa||25|l||eshop|Koude en warme dranken|Frisdrank|Andere bruisende frisdranken|Op basis van fruitsap|"Limonade | Bruisend | Lemon-Cactus | PET"||8.75|8.75|||||||||||1.75|||EUR|"eshop > Koude en warme dranken > Frisdrank > Andere bruisende frisdranken > Op basis van fruitsap > Limonade | Bruisend | Lemon-Cactus | PET"|https://www.delhaize.be/nl/shop/Koude-en-warme-dranken/Frisdrank/Andere-bruisende-frisdranken/Op-basis-van-fruitsap/Limonade-Bruisend-Lemon-Cactus-PET/p/S2022020300603430099||SPA® FRUIT BRUISEND Citroen, een heerlijke fruitlimonade. Dit product bevat 100% ingrediënten van natuurlijke oorsprong, geen kunstmatige kleurstoffen of smaken en geen bewaarmiddelen. Bovendien is SPA® FRUIT laag in calorieën. Kies uit een waaier van heerlijke bruisende én niet- bruisende smaken. Meer info op www.spa.be.||Bewaar uit de zon, in een nette, droge, koele en geurloze omgeving.||Ten minste houdbaar tot einde: zie fles.|||||||{'Per': ['Niet Bereid 100 mlt'], 'Energie': ['51 KJ'], 'Kilocalorieën': ['12 KCAL'], 'Vetten waarvan': ['0 g'], 'Verzadigde vetten': ['0 g'], 'Koolhydraten waarvan': ['3 g'], 'Suikers': ['3 g'], 'Eiwitten': ['0 g'], 'Zout': ['0 g']}||||||||||||||||||||||||||||||||https://www.delhaize.be/medias/sys_master/h33/h05/12566073802782.jpg|||||||||||61807|||||||||||S.A. SPA MONOPOLE N.V. - Rue A. Laporte 34, 4900 Spa - Belgique||||||||5LTR||4 x 1,25 l|Koolzuurhoudend Spa® water 96,5%, suiker, natuurlijk aroma, stabilisator (acaciagom), acerola extract, zoetstof (steviolglycosiden uit stevia), concentraat (saffloer).||True||S2022020300603430099P|||||||||
S2023102600728540099|delhaize||||||||2026_03_15|"Spa | Fruit | Limonade | Grenadine | Bruisend | Pet 4 x 1,25 l"|Spa||25|l||eshop|Koude en warme dranken|Frisdrank|Andere bruisende frisdranken|Andere bruisende frisdranken|"Limonade | Grenadine | Bruisend | Pet"||8.75|8.75|||||||||||1.75|||EUR|"eshop > Koude en warme dranken > Frisdrank > Andere bruisende frisdranken > Andere bruisende frisdranken > Limonade | Grenadine | Bruisend | Pet"|https://www.delhaize.be/nl/shop/Koude-en-warme-dranken/Frisdrank/Andere-bruisende-frisdranken/Andere-bruisende-frisdranken/Limonade-Grenadine-Bruisend-Pet/p/S2023102600728540099||bruisende smaken. Meer info op www.spa.be. laag in calorieën. Kies uit een waaier van heerlijke bruisende én niet- kleurstoffen of smaken en geen bewaarmiddelen. Bovendien is SPA® FRUIT bevat 100% ingrediënten van natuurlijke oorsprong, geen kunstmatige SPA® FRUIT BRUISEND Grenadine, een heerlijke fruitlimonade. Dit product||Bewaar uit de zon, in een nette, droge, koele en geurloze omgeving.||Ten minste houdbaar tot einde: zie fles. Gekoeld drinken. Na opening 3 dagen houdbaar.|||||||{'Per': ['Niet Bereid 100 mlt'], 'Energie': ['78 KJ'], 'Kilocalorieën': ['18 KCAL'], 'Vetten waarvan': ['0 g'], 'Verzadigde vetten': ['0 g'], 'Koolhydraten waarvan': ['4.6 g'], 'Suikers': ['4.6 g'], 'Eiwitten': ['0 g'], 'Zout': ['0 g']}||||||||||||||||||||||||||||||||https://www.delhaize.be/medias/sys_master/h16/h9d/12595687620638.jpg|||||||||||76402|||||||||||S.A. SPA MONOPOLE N.V. - Rue A. Laporte 34, 4900 Spa - Belgique||||||||5LTR||4 x 1,25 l|INGREDIENTEN Koolzuurhoudend natuurlijk mineraalwater 93,9% (bron Barisart), suiker, vruchtensappen uit concentraat 1,7% (citroen, aardbei 0,1%, framboos 0,1%, zwarte bes 0,1%), concentraten (wortel, saffloer), natuurlijke aroma’s, zoetstof (steviolglycosiden uit stevia).||True||S2023102600728540099P|||||||||
S2024112500803830099|delhaize||||||||2026_03_15|"Maison Perrier | Chic | Pina Fizz 4 x 25 cl"|Maison Perrier||25|cl||eshop|Koude en warme dranken|Frisdrank|Andere bruisende frisdranken|Op basis van fruitsap|Pina Fizz||3.89|3.89|||12/03/26|19/03/2026|||1+1 gratis Online||||3.89|||EUR|eshop > Koude en warme dranken > Frisdrank > Andere bruisende frisdranken > Op basis van fruitsap > Pina Fizz|https://www.delhaize.be/nl/shop/Koude-en-warme-dranken/Frisdrank/Andere-bruisende-frisdranken/Op-basis-van-fruitsap/Pina-Fizz/p/S2024112500803830099||Service Consommateurs/ Consumentendienst PERRIER BeLux : +32(0)2 529 55 25 consum@be.nestle.com, Nestlé Waters Marketing & Distribution Rue de Birminghamstraat 221, 1070 Anderlecht||Ten minste houdbaar tot: zie onderkant blik. Te bewaren op een droge plaats beschut tegen vorst en warmte.||Gekoeld serveren|||||||{'Per': ['Niet Bereid 100 mlt', 'Niet Bereid (%RI) 250MLT'], 'Energie': ['50 KJ', '124 KJ (1%)'], 'Kilocalorieën': ['12 KCAL', '29 KCAL (1%)'], 'Vetten waarvan': ['0 g', '0 g'], 'Verzadigde vetten': ['0 g', '0 g'], 'Koolhydraten waarvan': ['2.7 g', '6.7 g (2%)'], 'Suikers': ['2.4 g', '6.1 g (6%)'], 'Vezels': ['0 g', '0 g'], 'Eiwitten': ['0 g', '0 g'], 'Zout': ['0.02 g', '0.06 g (1%)']}||||||||||||||||||||||||||||||||https://www.delhaize.be/medias/sys_master/products/h35/h1e/12935646871582.jpg|||||||||||85372|||||||||||Société des Produits Nestlé S.A. - Rue de Birminghamstraat 221, 1070 Anderlecht||||||||1LTR||4 x 25 cl|Water 91,4%, ananassap uit concentraat 5%, vloeibare suiker, kooldioxide, voedingszuur (citroenzuur), natuurlijk aroma, natuurlijk ananas-gemberaroma met andere natuurlijke aroma&apos;s, concentraten (wortel, pompoen), zout.||True||S2024112500803830099P|||||||||
S2024120200807680099|delhaize||||||||2026_03_15|"Maison Perrier | Chic | Daiqui 4 x 25 cl"|Maison Perrier||25|cl||eshop|Koude en warme dranken|Frisdrank|Andere bruisende frisdranken|Op basis van fruitsap|Daiqui||3.89|3.89|||12/03/26|19/03/2026|||1+1 gratis Online||||3.89|||EUR|eshop > Koude en warme dranken > Frisdrank > Andere bruisende frisdranken > Op basis van fruitsap > Daiqui|https://www.delhaize.be/nl/shop/Koude-en-warme-dranken/Frisdrank/Andere-bruisende-frisdranken/Op-basis-van-fruitsap/Daiqui/p/S2024120200807680099||Service Consommateurs/ Consumentendienst PERRIER BeLux : +32(0)2 529 55 25 consum@be.nestle.com, Nestlé Waters Marketing & Distribution Rue de Birminghamstraat 221, 1070 Anderlecht||Ten minste houdbaar tot: zie onderkant blik. Te bewaren op een droge plaats beschut tegen vorst en warmte.||Gekoeld serveren|||||||{'Per': ['Niet Bereid 100 mlt', 'Niet Bereid (%RI) 250MLT'], 'Energie': ['49 KJ', '123 KJ (1%)'], 'Kilocalorieën': ['12 KCAL', '29 KCAL (1%)'], 'Vetten waarvan': ['0 g', '0 g'], 'Verzadigde vetten': ['0 g', '0 g'], 'Koolhydraten waarvan': ['2.7 g', '6.6 g (2%)'], 'Suikers': ['2.1 g', '5.3 g (6%)'], 'Vezels': ['0 g', '0 g'], 'Eiwitten': ['0 g', '0 g'], 'Zout': ['0.02 g', '0 g (1%)']}||||||||||||||||||||||||||||||||https://www.delhaize.be/medias/sys_master/products/h98/h49/12929878491166.jpg|||||||||||85580|||||||||||Société des Produits Nestlé S.A. - Rue de Birminghamstraat 221, 1070 Anderlecht||||||||1LTR||4 x 25 cl|Water 91,2%, vruchtensap uit concentraat 5% (sinaasappel 2%, aardbei 2%, zwarte bes 1%), vloeibare suiker, kooldioxide, voedingszuur (citroenzuur), concentraten (wortel, pompoen), natuurlijk aroma, zout.||True||S2024120200807680099P|||||||||
S1991061400921760000|delhaize||||||||2026_03_15|"Coca-Cola | Original taste | PET 6 x 1,5 l"|Coca-Cola||5|l||eshop|Koude en warme dranken|Frisdrank|Cola|Klassieke cola|"Original taste | PET"||14.29|14.29|||12/03/26|26/03/2026|||2+1 gratis||||1.59|||EUR|"eshop > Koude en warme dranken > Frisdrank > Cola > Klassieke cola > Original taste | PET"|https://www.delhaize.be/nl/shop/Koude-en-warme-dranken/Frisdrank/Cola/Klassieke-cola/Original-taste-PET/p/S1991061400921760000||Je enige echte Coca-Cola. Al sinds 1886 zo oneindig veel meer dan een frisdrank met natuurlijke plantenextracten. Het recept van Coca-Cola is nooit veranderd en nooit geëvenaard. Zo blijft Coca-Cola wereldwijd de geliefde soft drink van jong en oud.||Koel, droog, geurvrij, en uit het zonlicht bewaren.|||||||||{'Per': ['Niet Bereid 100 mlt', 'Niet Bereid (%RI) 250MLT'], 'Energie': ['180 KJ', '450 KJ (5%)'], 'Kilocalorieën': ['42 KCAL', '105 KCAL (5%)'], 'Vetten waarvan': ['0 g', '0 g (0%)'], 'Verzadigde vetten': ['0 g', '0 g (0%)'], 'Koolhydraten waarvan': ['10.6 g', '27 g (10%)'], 'Suikers': ['10.6 g', '27 g (29%)'], 'Eiwitten': ['0 g', '0 g (0%)'], 'Zout': ['0 g', '0 g (0%)']}||||||||||||||||||||||||||||||||https://www.delhaize.be/medias/sys_master/products/h60/he2/13499934113822.jpg|||||||||||332208|||||||||||The Coca-Cola Company - BP/PB/PF 400 - B-1070 Bruxelles/Brussel/Brüssel||||||||6 piece(s)||6 x 1,5 l|Sprankelend water; suiker; kleurstof E150d; voedingszuur E338; natuurlijke aroma&apos;s; aroma cafeïne.||True||S1991061400921760000P|||||||||
S2006090600922230000|delhaize||||||||2026_03_15|"Coca-Cola | Zero Sugar | PET 6 x 1,5 l"|Coca-Cola||5|l||eshop|Koude en warme dranken|Frisdrank|Cola|Cola zero|"Zero Sugar | PET"||13.99|13.99|||12/03/26|26/03/2026|||2+1 gratis||||1.55|||EUR|"eshop > Koude en warme dranken > Frisdrank > Cola > Cola zero > Zero Sugar | PET"|https://www.delhaize.be/nl/shop/Koude-en-warme-dranken/Frisdrank/Cola/Cola-zero/Zero-Sugar-PET/p/S2006090600922230000||Coca-Cola Zero sugar heeft de heerlijke smaak van de enige echte Coca- Cola, maar dan zonder suiker. Deze verfrissende suikervrije Coca-Cola serveer je best ijskoud.||Koel, droog en uit rechtstreeks zonlicht bewaren.|||||||||{'Per': ['Niet Bereid 100 mlt', 'Niet Bereid (%RI) 250MLT'], 'Energie': ['1.3 KJ', '3.3 KJ (0%)'], 'Kilocalorieën': ['0.3 KCAL', '1 KCAL (0%)'], 'Vetten waarvan': ['0 g', '0 g (0%)'], 'Verzadigde vetten': ['0 g', '0 g (0%)'], 'Koolhydraten waarvan': ['0 g', '0 g (0%)'], 'Suikers': ['0 g', '0 g (0%)'], 'Eiwitten': ['0 g', '0 g (0%)'], 'Zout': ['0.01 g', '0.03 g (0%)']}|||||||||||||||ZERO SUGAR|||||||||||||||||https://www.delhaize.be/medias/sys_master/products/h18/h95/13555161432094.jpg|||||||||||332143|||||||||||The Coca-Cola Company - BP/PB/PF 400 - B-1070 Bruxelles/Brussel/Brüssel||||||||6 piece(s)||6 x 1,5 l|Sprankelend water; kleurstof E150d; voedingszuur E338; zoetstoffen aspartaam, acesulfaam-K, enzymatisch geproduceerte steviolglycosiden; natuurlijke aroma&apos;s; aroma cafeïne; zuurteregelaar E331.||True||S2006090600922230000P|||||||||
